,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
105,toyota etios liva,2013,petrol,40911,noida,hatchback,manual,2,349285.0,False,294399
107,hyundai i20,2011,petrol,71538,noida,hatchback,manual,1,268499.0,False,256699
109,maruti celerio,2015,petrol,53095,noida,hatchback,manual,1,361544.0,False,354999
110,hyundai i20,2012,diesel,59922,noida,hatchback,manual,1,297556.0,False,276399
111,honda wr-v,2018,petrol,28290,noida,suv,manual,1,917232.0,False,709899
112,maruti baleno,2017,petrol,34205,noida,hatchback,manual,1,535699.0,False,509399
113,maruti swift,2015,petrol,57972,noida,hatchback,manual,3,470977.0,False,369399
114,maruti swift,2008,petrol,61909,noida,hatchback,manual,1,236421.0,False,203099
115,mahindra xuv500,2012,diesel,49367,noida,luxury suv,manual,3,503313.0,False,479899
116,mahindra xuv500,2014,diesel,64950,noida,luxury suv,manual,2,636898.0,False,555999
117,maruti sx4,2010,petrol,61261,noida,sedan,manual,1,265408.0,False,232899
119,maruti swift,2013,diesel,67011,noida,hatchback,manual,1,436632.0,False,369299
120,hyundai elite i20,2015,petrol,53171,noida,hatchback,manual,1,560624.0,False,480399
123,maruti zen estilo,2011,petrol,89510,noida,hatchback,manual,1,221714.0,False,188399
125,mahindra scorpio,2015,diesel,50968,noida,suv,manual,1,1012190.0,False,801099
126,toyota innova crysta,2017,diesel,42841,noida,suv,manual,1,1713713.0,False,1415109
127,volkswagen polo,2013,petrol,65942,noida,hatchback,manual,1,374585.0,False,317199
129,hyundai creta,2016,petrol,61582,noida,suv,manual,2,837780.0,False,720299
130,mahindra scorpio,2016,diesel,61330,noida,suv,manual,2,1272552.0,False,1030804
132,maruti swift,2009,petrol,96354,noida,hatchback,manual,2,262687.0,False,239299
133,mitsubishi outlander,2009,petrol,95127,noida,luxury suv,manual,3,331199.0,False,307099
134,hyundai verna,2014,diesel,81676,noida,sedan,manual,1,643090.0,False,520499
135,hyundai verna,2014,diesel,84334,noida,sedan,manual,1,608343.0,False,510699
136,volkswagen ameo,2017,diesel,73768,noida,sedan,manual,1,509599.0,False,486299
140,honda brio,2013,petrol,90659,noida,hatchback,manual,2,281810.0,False,251399
142,maruti swift dzire,2012,petrol,90220,noida,sedan,manual,1,367653.0,False,290899
143,ford ecosport,2013,diesel,99113,noida,suv,manual,1,517356.0,False,413099
144,mahindra xuv500,2014,diesel,60070,noida,luxury suv,manual,1,824782.0,False,699399
145,nissan terrano,2014,diesel,110471,noida,suv,manual,1,538030.0,False,469099
146,honda amaze,2014,petrol,86304,noida,sedan,manual,1,391854.0,False,364599
147,maruti ritz,2010,petrol,108338,noida,hatchback,manual,1,295036.0,False,230799
148,hyundai i20,2012,diesel,122256,noida,hatchback,manual,1,355277.0,False,299399
149,toyota etios,2015,petrol,168109,noida,sedan,manual,1,410291.0,False,330899
150,maruti ertiga,2012,diesel,186207,noida,suv,manual,1,493793.0,False,440199
