,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
89,21,2018,4,62683,ahmedabad,4.0,0.0,1,1660812.0,2,1367538
90,7,2010,2,58590,mumbai,1.0,0.0,2,227299.0,2,227099
91,15,2016,2,28640,new delhi,2.0,0.0,1,414418.0,2,328099
92,9,2012,2,30254,mumbai,0.0,0.0,1,,2,302799
93,8,2018,2,14673,gurgaon,0.0,0.0,1,468812.0,2,450399
94,7,2012,2,121979,ahmedabad,1.0,0.0,1,394136.0,2,359899
95,16,2014,4,227391,bengaluru,2.0,0.0,1,1129885.0,2,1129683
96,15,2010,4,132687,ahmedabad,2.0,0.0,1,,2,200000
97,9,2014,2,104666,gurgaon,1.0,0.0,2,,2,493399
98,11,2015,2,110966,new delhi,2.0,0.0,1,571108.0,2,490999
99,7,2010,2,71122,bengaluru,0.0,0.0,2,264146.0,2,234399
100,8,2009,2,68132,pune,0.0,0.0,3,,2,174099
101,7,2015,2,80800,bengaluru,1.0,0.0,3,481299.0,2,481199
102,7,2018,1,9582,mumbai,0.0,0.0,1,,2,465699
103,7,2019,2,22770,pune,2.0,,1,1037500.0,2,1011199
104,7,2012,2,40911,bengaluru,0.0,0.0,2,,2,269599
105,8,2019,2,8781,bengaluru,0.0,,1,813141.0,2,782899
106,7,2012,4,84213,gurgaon,0.0,0.0,1,325179.0,2,324199
107,7,2019,2,5419,ahmedabad,0.0,0.0,1,696866.0,2,574999
108,8,2009,2,85240,pune,0.0,0.0,1,,2,151999
109,9,2010,2,168462,pune,1.0,0.0,1,,2,270099
110,8,2008,2,29650,pune,0.0,0.0,2,157399.0,2,157299
111,7,2012,4,79396,new delhi,1.0,0.0,1,457943.0,2,373799
112,1,2010,2,71080,bengaluru,0.0,0.0,1,,2,237399
113,8,2015,4,70207,bengaluru,1.0,1.0,1,770209.0,2,766599
114,9,2013,4,132070,noida,1.0,0.0,1,,1,250000
115,15,2016,4,62601,ghaziabad,2.0,0.0,1,335608.0,2,333799
116,9,2015,4,110600,pune,1.0,0.0,1,,1,600000
117,8,2012,2,71853,chennai,0.0,0.0,2,371005.0,2,336999
118,8,2014,4,56549,ghaziabad,0.0,0.0,1,423434.0,2,340699
119,8,2015,2,2546,bengaluru,0.0,0.0,1,565746.0,2,563799
120,8,2012,2,170597,new delhi,1.0,0.0,1,221216.0,2,197799
121,7,2013,2,81944,hyderabad,0.0,0.0,1,,2,257299
122,8,2009,1,119627,mumbai,0.0,0.0,2,,2,240899
123,8,2011,2,47989,chennai,0.0,0.0,2,,2,227199
124,8,2015,4,55867,hyderabad,2.0,0.0,1,1103693.0,2,916099
125,16,2010,4,150832,mumbai,2.0,0.0,1,,2,582199
126,6,2016,2,23226,faridabad,0.0,0.0,1,323285.0,2,265699
127,9,2013,2,68016,ghaziabad,1.0,0.0,1,551947.0,2,424499
128,7,2014,4,103397,new delhi,1.0,0.0,1,,2,442899
129,7,2019,1,5715,noida,2.0,0.0,1,414683.0,2,386499
130,8,2009,2,65198,mumbai,0.0,0.0,2,,2,169299
131,15,2015,4,92400,gurgaon,4.0,0.0,2,894267.0,2,858799
132,12,2014,4,82081,new delhi,1.0,0.0,1,393376.0,2,310299
133,7,2015,2,7187,bengaluru,0.0,1.0,1,,2,455899
134,7,2016,1,95404,mumbai,0.0,0.0,1,,2,411599
135,7,2009,2,53231,hyderabad,0.0,0.0,1,,2,275299
136,11,2015,2,52758,noida,2.0,1.0,2,,2,640299
137,7,2012,4,242900,mumbai,2.0,0.0,1,525599.0,2,521099
138,7,2017,2,49405,bengaluru,0.0,1.0,2,688470.0,1,674199
139,7,2014,2,66079,bengaluru,0.0,0.0,1,,2,347099
140,7,2016,2,48395,bengaluru,0.0,1.0,1,,2,461299
141,7,2008,0,69982,chennai,0.0,0.0,1,202699.0,2,193499
142,10,2019,4,46337,chennai,2.0,0.0,1,1952396.0,2,1914453
143,9,2014,4,110899,chennai,1.0,0.0,1,692558.0,2,620199
144,7,2016,2,83735,chennai,0.0,1.0,1,461199.0,2,461099
145,7,2011,2,30640,pune,0.0,0.0,1,,2,266399
146,11,2014,2,29000,mumbai,2.0,0.0,2,,2,464499
147,7,2016,2,36146,hyderabad,0.0,1.0,2,,2,570599
148,9,2010,2,60291,ghaziabad,1.0,1.0,1,,2,270000
149,7,2011,2,76919,new delhi,0.0,0.0,1,280249.0,2,251199
150,11,2012,2,45635,pune,0.0,0.0,1,,2,238099
151,7,2017,4,51514,mumbai,2.0,0.0,1,774238.0,2,668999
152,7,2018,4,72536,chennai,1.0,0.0,1,803731.0,2,674299
153,7,2018,1,84119,hyderabad,0.0,0.0,1,435899.0,2,423899
154,15,2016,4,105691,pune,4.0,,1,1004880.0,2,920999
155,10,2018,2,3399,mumbai,1.0,0.0,1,,2,571199
156,7,2010,2,71422,new delhi,0.0,0.0,2,,2,210099
157,7,2014,2,80728,mumbai,0.0,0.0,1,,2,362899
158,7,2016,2,38114,bengaluru,2.0,0.0,1,392199.0,2,392099
159,9,2009,1,103556,new delhi,1.0,0.0,5,,1,210000
160,8,2017,4,35617,mumbai,3.0,1.0,2,,2,1134935
161,7,2015,2,45865,bengaluru,1.0,0.0,1,437399.0,2,437299
162,7,2008,2,75701,mumbai,0.0,0.0,2,,2,180599
163,7,2018,4,57069,new delhi,2.0,,1,,2,769599
164,7,2011,2,126386,bengaluru,0.0,0.0,1,,2,326599
165,19,2012,4,53597,new delhi,3.0,,2,,2,1047570
166,11,2010,4,128317,pune,0.0,0.0,2,,2,187099
167,7,2018,2,57889,bengaluru,0.0,1.0,1,,2,691299
168,15,2019,4,16746,mumbai,2.0,,1,,2,1154428
169,7,2014,2,48657,bengaluru,0.0,0.0,1,,2,272899
170,7,2011,1,72151,mumbai,0.0,0.0,2,,2,253799
171,16,2010,2,85763,mumbai,3.0,,3,,2,287299
172,22,2012,4,29177,faridabad,3.0,1.0,1,1193834.0,2,1184223
173,7,2009,2,54904,hyderabad,0.0,0.0,1,,2,185599
174,12,2016,2,43771,pune,1.0,0.0,1,461788.0,2,460099
175,7,2016,2,111279,new delhi,0.0,0.0,1,,1,295000
176,7,2016,4,52520,new delhi,2.0,0.0,2,752415.0,2,595999
177,7,2017,4,59023,new delhi,2.0,0.0,2,630266.0,2,604999
178,7,2015,2,41516,new delhi,1.0,,1,457099.0,2,448399
179,8,2014,2,51147,ghaziabad,1.0,0.0,1,,2,375000
180,12,2015,2,35743,bengaluru,0.0,1.0,1,815539.0,2,622599
181,12,2012,4,52977,chennai,1.0,0.0,2,,2,367799
182,7,2020,2,7449,ahmedabad,2.0,0.0,1,582196.0,2,472799
183,7,2011,2,39325,new delhi,0.0,0.0,1,290099.0,2,286099
184,7,2018,2,3330,bengaluru,1.0,,1,845000.0,2,839099
185,15,2016,4,60135,bengaluru,2.0,1.0,2,696423.0,2,671999
186,7,2014,2,22656,bengaluru,0.0,0.0,1,414354.0,2,306999
187,9,2012,2,110108,new delhi,0.0,0.0,1,,2,331799
188,16,2018,4,52726,mumbai,2.0,1.0,1,2041889.0,2,1972932
189,7,2014,2,55269,pune,0.0,0.0,1,244004.0,2,241499
190,7,2012,2,56269,pune,1.0,0.0,1,,2,408899
191,6,2013,4,109600,ahmedabad,2.0,0.0,1,,2,413499
192,8,2012,2,62165,ahmedabad,0.0,0.0,2,391171.0,2,312699
193,19,2009,2,58102,bengaluru,3.0,0.0,2,,2,554499
194,9,2014,4,82735,hyderabad,1.0,0.0,1,597990.0,2,524699
195,7,2019,2,30598,hyderabad,0.0,,1,441399.0,2,441299
196,7,2012,2,35190,chennai,0.0,0.0,2,269520.0,2,212999
197,7,2014,4,82140,new delhi,1.0,0.0,2,,2,374799
